ItemID,ItemName,ItemCategory,ItemCost,Ingredients
0,Wintermelon,Milk Foam,565,
1,Green Tea,Milk Foam,0,
2,Black Tea,Milk Foam,0,
3,Oolong Tea,Milk Foam,0,
4,Pearl Milk Tea,Milk Tea,580,
5,Caramel Milk Tea,Milk Tea,0,
6,Milk Coffee,Milk Tea,0,
7,Coffee Milk Tea,Milk Tea,625,
8,Milk Foam Black Coffee,Coffee,0,
9,Stuff,Coffee,0,
10,Stuff23,Coffee,0,
11,Match Pearl Milk Tea,Matcha,650,
12,Mango Match Fresh Milk,Matcha,650,
13,Strawberry Matcha Fresh Milk,Matcha,650,
14,Match Fresh Milk,Matcha,625,
15,Match Ice Blended,Matcha,650,
16,Peach Tea w/ Honey Jelly (Black/Green/Oolong Tea),Fruity Beverage,625,
17,Honey Lemonade,Fruity Beverage,520,
18,Mango Green Tea,Fruity Beverage,580,
19,Mango & Passion Fruit Tea,Fruity Beverage,625,
20,Berry Lychee Burst,Fruity Beverage,625,
